doc_id	cause_num	adjudication_date	receipt_date	date_publ	judge	doc_url	court_code	court_name	judgment_code	justice_kind	category_code	status
135733695	686/29163/21	2026-04-01 00:00:00+03	2026-04-16 00:00:00+03	2026-04-17 00:00:00+03	Краснощоков Євгеній Віталійович	https://od.reyestr.court.gov.ua/files/67/d7b0a7fd5da927d2407ce62c70b77b55.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40337	1
135733245	910/2206/24	2026-04-14 00:00:00+03	2026-04-16 00:00:00+03	2026-04-20 00:00:00+03	Бенедисюк I.М.	https://od.reyestr.court.gov.ua/files/67/786fd8c75d697d5328e4994167782d07.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40233	1
135770729	569/14622/24	2026-04-08 00:00:00+03	2026-04-17 00:00:00+03	2026-04-20 00:00:00+03	Гулейков Ігор Юрійович	https://od.reyestr.court.gov.ua/files/67/8298aa77ef5631f5c1e26bc840e0dc5a.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
135770724	296/3773/24	2026-04-08 00:00:00+03	2026-04-17 00:00:00+03	2026-04-20 00:00:00+03	Гулейков Ігор Юрійович	https://od.reyestr.court.gov.ua/files/67/076a6cf3422590e86fa64b632c53b1eb.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
135770810	135/1384/25	2026-04-17 00:00:00+03	2026-04-17 00:00:00+03	2026-04-20 00:00:00+03	Коротун Вадим Михайлович	https://od.reyestr.court.gov.ua/files/67/1c4a291f13879fb13abbcb1486d55ccb.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40329	1
135804522	201/1402/23	2026-04-01 00:00:00+03	2026-04-20 00:00:00+03	2026-04-21 00:00:00+03	Дундар Ірина Олександрівна	https://od.reyestr.court.gov.ua/files/67/3fee3e28e87a245b3d6c609ff3b1c192.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40337	1
135804452	924/55/25	2026-04-14 00:00:00+03	2026-04-20 00:00:00+03	2026-04-21 00:00:00+03	Малашенкова Т.М.	https://od.reyestr.court.gov.ua/files/67/09c705658d0f4e843f5e81db9e65e092.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40232	1
135844760	910/14960/24	2026-04-16 00:00:00+03	2026-04-21 00:00:00+03	2026-04-22 00:00:00+03	Булгакова І.В.	https://od.reyestr.court.gov.ua/files/67/2bde561c195fa4705b8a48ea4730c566.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40233	1
135844766	910/2663/25	2026-04-16 00:00:00+03	2026-04-21 00:00:00+03	2026-04-22 00:00:00+03	Власов Ю.Л.	https://od.reyestr.court.gov.ua/files/67/0eef0fbc390897306330db87ecb3a2bd.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40233	1
135844764	910/9006/25	2026-04-16 00:00:00+03	2026-04-21 00:00:00+03	2026-04-22 00:00:00+03	Власов Ю.Л.	https://od.reyestr.court.gov.ua/files/67/a566d9b6d8f766bcecbdaee2d5178023.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40233	1
135844863	203/5640/23	2026-04-17 00:00:00+03	2026-04-21 00:00:00+03	2026-04-22 00:00:00+03	Коротун Вадим Михайлович	https://od.reyestr.court.gov.ua/files/67/336f99406d1d3de53cae6d028d1afb12.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
135960282	917/2162/25	2026-04-22 00:00:00+03	2026-04-24 00:00:00+03	2026-04-27 00:00:00+03	Баранець О.М.	https://od.reyestr.court.gov.ua/files/67/6c7a046198e7c66d13cbfcff5c75f8da.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40253	1
136004779	500/4441/19	2026-04-27 00:00:00+03	2026-04-27 00:00:00+03	2026-04-28 00:00:00+03	Луспеник Дмитро Дмитрович	https://od.reyestr.court.gov.ua/files/68/520bb2bb032e1ee2fa655ddf471a5d93.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
135994388	355/1399/22	2026-03-18 00:00:00+02	2026-04-27 00:00:00+03	2026-04-28 00:00:00+03	Гудима Дмитро Анатолійович	https://od.reyestr.court.gov.ua/files/67/9a33c8b14b48d3c3effa56dd06524171.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40337	1
136045570	490/6036/20	2026-04-27 00:00:00+03	2026-04-28 00:00:00+03	2026-04-29 00:00:00+03	Шипович Владислав Володимирович	https://od.reyestr.court.gov.ua/files/68/1f3859a1eefb8b76684cc50bdbf70fbe.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40337	1
136045496	910/13422/23	2026-04-27 00:00:00+03	2026-04-28 00:00:00+03	2026-04-29 00:00:00+03	Булгакова І.В.	https://od.reyestr.court.gov.ua/files/68/f1343f858733661ffabace68b9cec10d.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40234	1
136077563	910/3049/22	2026-04-28 00:00:00+03	2026-04-29 00:00:00+03	2026-04-30 00:00:00+03	Бенедисюк I.М.	https://od.reyestr.court.gov.ua/files/68/3228745d757cbf75f296d3e569466b1b.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40233	1
136077534	910/180/25	2026-04-28 00:00:00+03	2026-04-29 00:00:00+03	2026-04-30 00:00:00+03	Бенедисюк I.М.	https://od.reyestr.court.gov.ua/files/68/f5bf21e95a2b4fbbcdb423b2106fd5e7.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40233	1
136077567	910/180/25	2026-04-28 00:00:00+03	2026-04-29 00:00:00+03	2026-04-30 00:00:00+03	Бенедисюк I.М.	https://od.reyestr.court.gov.ua/files/68/8d6c27e934a761cfd6f8115d8194a3d1.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40233	1
136078406	522/248/20	2026-04-16 00:00:00+03	2026-04-29 00:00:00+03	2026-04-30 00:00:00+03	Краснощоков Євгеній Віталійович	https://od.reyestr.court.gov.ua/files/68/f63225b3ab0474660f55b8a5aea92f2f.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
136077536	910/3049/22	2026-04-28 00:00:00+03	2026-04-29 00:00:00+03	2026-04-30 00:00:00+03	Бенедисюк I.М.	https://od.reyestr.court.gov.ua/files/68/e8387389565e33d1140091b8bfd6bc5f.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40233	1
136077565	903/997/25	2026-04-28 00:00:00+03	2026-04-29 00:00:00+03	2026-04-30 00:00:00+03	Бенедисюк I.М.	https://od.reyestr.court.gov.ua/files/68/c1ce18d716c15fb95c08b7ef6ed45297.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40234	1
136077535	903/997/25	2026-04-28 00:00:00+03	2026-04-29 00:00:00+03	2026-04-30 00:00:00+03	Бенедисюк I.М.	https://od.reyestr.court.gov.ua/files/68/d0bcbad9fa301ed3c45191f9a48ac027.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40234	1
136078584	752/8561/21	2026-04-27 00:00:00+03	2026-04-29 00:00:00+03	2026-04-30 00:00:00+03	Фаловська Ірина Миколаївна	https://od.reyestr.court.gov.ua/files/68/bd42e3a968419e1803e8276aac4fdeac.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40337	1
136114276	308/7783/23	2026-04-28 00:00:00+03	2026-04-30 00:00:00+03	2026-05-01 00:00:00+03	Червинська Марина Євгенівна	https://od.reyestr.court.gov.ua/files/68/9a3452776d06aedb5df9605c9ec31279.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40337	1
136114130	293/1073/24	2026-04-29 00:00:00+03	2026-04-30 00:00:00+03	2026-05-01 00:00:00+03	Луспеник Дмитро Дмитрович	https://od.reyestr.court.gov.ua/files/68/108fc6c337e9554c2f85cce5a2fd07e4.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
136114244	591/12073/23	2026-04-30 00:00:00+03	2026-04-30 00:00:00+03	2026-05-01 00:00:00+03	Коротун Вадим Михайлович	https://od.reyestr.court.gov.ua/files/68/8c83431d63ee3a8a80448ee5c3cf4de1.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40337	1
136114026	911/3530/25	2026-04-30 00:00:00+03	2026-04-30 00:00:00+03	2026-05-01 00:00:00+03	Бенедисюк I.М.	https://od.reyestr.court.gov.ua/files/68/120540c07db9632609b6f2a5753ec0f1.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40233	1
136114067	489/5038/23	2026-04-16 00:00:00+03	2026-04-30 00:00:00+03	2026-05-01 00:00:00+03	Пархоменко Павло Іванович	https://od.reyestr.court.gov.ua/files/68/1217f2da5615677485a7e8f73dbaaa3e.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
136114319	705/2159/19	2026-04-29 00:00:00+03	2026-04-30 00:00:00+03	2026-05-01 00:00:00+03	Гулейков Ігор Юрійович	https://od.reyestr.court.gov.ua/files/68/62eb56ba9a2b51fef61f516baec92222.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
136114330	761/9935/21	2026-04-29 00:00:00+03	2026-04-30 00:00:00+03	2026-05-01 00:00:00+03	Коломієць Ганна Василівна	https://od.reyestr.court.gov.ua/files/68/f229456ac9cfc8e8e8ac1ff7f83635c1.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
136114316	303/5660/22	2026-04-28 00:00:00+03	2026-04-30 00:00:00+03	2026-05-01 00:00:00+03	Гулейков Ігор Юрійович	https://od.reyestr.court.gov.ua/files/68/7bddddcac208ec685817bad29ef147e7.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40337	1
136114041	922/597/24	2026-04-30 00:00:00+03	2026-04-30 00:00:00+03	2026-05-01 00:00:00+03	Булгакова І.В.	https://od.reyestr.court.gov.ua/files/68/9d2de3b21f73bc732acea0457bbb64ed.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40234	1
136114066	489/5136/23	2026-04-16 00:00:00+03	2026-04-30 00:00:00+03	2026-05-01 00:00:00+03	Пархоменко Павло Іванович	https://od.reyestr.court.gov.ua/files/68/5e903753ed196e35796750ebc0ae9cb9.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
136114085	760/17503/24	2026-04-16 00:00:00+03	2026-04-30 00:00:00+03	2026-05-01 00:00:00+03	Крат Василь Іванович	https://od.reyestr.court.gov.ua/files/68/d9f7e14cde4090205c87ee9976dd247f.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
136114027	922/597/24	2026-04-30 00:00:00+03	2026-04-30 00:00:00+03	2026-05-01 00:00:00+03	Булгакова І.В.	https://od.reyestr.court.gov.ua/files/68/fde2919507848521620b30fabc13e350.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40234	1
136114012	922/2991/25	2026-04-29 00:00:00+03	2026-04-30 00:00:00+03	2026-05-01 00:00:00+03	Берднік І.С.	https://od.reyestr.court.gov.ua/files/68/2472141a49e1ccd5e0806dc7dbd10b9a.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40218	1
136114105	158/2439/22	2026-04-27 00:00:00+03	2026-04-30 00:00:00+03	2026-05-01 00:00:00+03	Сердюк Валентин Васильович	https://od.reyestr.court.gov.ua/files/68/12a430924812a900d7d39110242639e7.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
136149375	914/2959/24	2026-04-30 00:00:00+03	2026-05-01 00:00:00+03	2026-05-04 00:00:00+03	Булгакова І.В.	https://od.reyestr.court.gov.ua/files/68/41f8837859a160e37b0c9d1dbb01046c.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40233	1
136149361	914/2959/24	2026-04-30 00:00:00+03	2026-05-01 00:00:00+03	2026-05-04 00:00:00+03	Булгакова І.В.	https://od.reyestr.court.gov.ua/files/68/11be2eb2645d5a39a1908c46d25836da.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40233	1
136149373	916/1749/25	2026-04-30 00:00:00+03	2026-05-01 00:00:00+03	2026-05-04 00:00:00+03	Булгакова І.В.	https://od.reyestr.court.gov.ua/files/68/6b95b23a4a5a895082bb2911a726200b.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40233	1
136149362	916/1749/25	2026-04-30 00:00:00+03	2026-05-01 00:00:00+03	2026-05-04 00:00:00+03	Булгакова І.В.	https://od.reyestr.court.gov.ua/files/68/a96a173c1e0df1e3fd6e43d1a380b3fd.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40233	1
136197169	756/12586/24	2026-04-29 00:00:00+03	2026-05-04 00:00:00+03	2026-05-05 00:00:00+03	Лідовець Руслан Анатолійович	https://od.reyestr.court.gov.ua/files/68/63c1128a2db0477b4dc5f8f5222242d5.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
136280619	914/2896/24	2026-05-05 00:00:00+03	2026-05-07 00:00:00+03	2026-05-07 00:00:00+03	Бенедисюк I.М.	https://od.reyestr.court.gov.ua/files/68/abcae4e4e43369369ce01321f5430f1c.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40234	1
136281546	914/2896/24	2026-05-05 00:00:00+03	2026-05-07 00:00:00+03	2026-05-07 00:00:00+03	Бенедисюк I.М.	https://od.reyestr.court.gov.ua/files/68/3e6a186538b3976169b5f0db6fde4000.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40234	1
136281566	752/16467/22	2026-04-29 00:00:00+03	2026-05-07 00:00:00+03	2026-05-07 00:00:00+03	Лідовець Руслан Анатолійович	https://od.reyestr.court.gov.ua/files/68/b648833b7611df2805f25c9d068bdb87.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40329	1
136318583	910/5762/25	2026-05-07 00:00:00+03	2026-05-07 00:00:00+03	2026-05-08 00:00:00+03	Власов Ю.Л.	https://od.reyestr.court.gov.ua/files/68/6b36839af33e7087199ec6ecce1c8e23.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40234	1
136318524	908/1619/25	2026-05-06 00:00:00+03	2026-05-07 00:00:00+03	2026-05-08 00:00:00+03	Зуєв В.А.	https://od.reyestr.court.gov.ua/files/68/cc4dddb9fa118b344c8ef2a5445c9cb5.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40218	1
136318575	910/5762/25	2026-05-07 00:00:00+03	2026-05-07 00:00:00+03	2026-05-08 00:00:00+03	Власов Ю.Л.	https://od.reyestr.court.gov.ua/files/68/8dc0bc4ad6ecf95fcb654150f7e1d57e.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40234	1
136318710	553/1060/20	2026-05-05 00:00:00+03	2026-05-07 00:00:00+03	2026-05-08 00:00:00+03	Коротенко Євген Васильович	https://od.reyestr.court.gov.ua/files/68/8d9cd10d89b4ab5e7b9359fab9a00f68.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
136318687	554/15675/22	2026-05-04 00:00:00+03	2026-05-07 00:00:00+03	2026-05-08 00:00:00+03	Тітов Максим Юрійович	https://od.reyestr.court.gov.ua/files/68/a71d2d8e1534327a6c06e9182ba2150b.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
136318756	466/2685/21	2026-05-05 00:00:00+03	2026-05-07 00:00:00+03	2026-05-08 00:00:00+03	Пророк Віктор Васильович	https://od.reyestr.court.gov.ua/files/68/264c0e190c6f86790c8bea6456a978fc.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40337	1
136318816	760/17880/21	2026-05-06 00:00:00+03	2026-05-07 00:00:00+03	2026-05-08 00:00:00+03	Калараш Андрій Андрійович	https://od.reyestr.court.gov.ua/files/68/9537828c72169fb26fc314eb57c98833.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
136318772	607/23983/24	2026-05-06 00:00:00+03	2026-05-07 00:00:00+03	2026-05-08 00:00:00+03	Осіян Олексій Миколайович	https://od.reyestr.court.gov.ua/files/68/9a9e0e503c3d4ce383e30450dc169c8b.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
136318430	910/7171/25	2026-04-30 00:00:00+03	2026-05-07 00:00:00+03	2026-05-08 00:00:00+03	Баранець О.М.	https://od.reyestr.court.gov.ua/files/68/c57de47c092d36174847c3b4261f4f3a.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40253	1
136347742	935/1913/22	2026-05-06 00:00:00+03	2026-05-08 00:00:00+03	2026-05-11 00:00:00+03	Зайцев Андрій Юрійович	https://od.reyestr.court.gov.ua/files/68/bf04c659ba5dd3da35949ddc66b78b55.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
136392314	635/11281/23	2026-05-06 00:00:00+03	2026-05-11 00:00:00+03	2026-05-12 00:00:00+03	Гулейков Ігор Юрійович	https://od.reyestr.court.gov.ua/files/68/47912b91430b116e388de7567ca6bcdc.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
136427933	914/2651/25	2026-05-12 00:00:00+03	2026-05-12 00:00:00+03	2026-05-13 00:00:00+03	Малашенкова Т.М.	https://od.reyestr.court.gov.ua/files/68/d7f53c5a7a2597c836b99b671d73d35f.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40233	1
136427857	906/633/25	2026-04-28 00:00:00+03	2026-05-12 00:00:00+03	2026-05-13 00:00:00+03	Чумак Ю.Я.	https://od.reyestr.court.gov.ua/files/68/ea956d8bfe7246eee7ab091761db3948.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	13654	1
136427944	916/4098/23	2026-05-12 00:00:00+03	2026-05-12 00:00:00+03	2026-05-13 00:00:00+03	Бенедисюк I.М.	https://od.reyestr.court.gov.ua/files/68/413a543fb625732dea0734e062b5c511.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40233	1
136470250	914/2331/24	2026-05-12 00:00:00+03	2026-05-13 00:00:00+03	2026-05-14 00:00:00+03	Малашенкова Т.М.	https://od.reyestr.court.gov.ua/files/68/092d6ed1fbd32ed8e2696980b0144708.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40232	1
136505271	914/2331/24	2026-05-12 00:00:00+03	2026-05-14 00:00:00+03	2026-05-15 00:00:00+03	Малашенкова Т.М.	https://od.reyestr.court.gov.ua/files/68/0a8bab8aa587786e822f815efa6dca52.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40232	1
136505274	914/2651/25	2026-05-12 00:00:00+03	2026-05-14 00:00:00+03	2026-05-15 00:00:00+03	Малашенкова Т.М.	https://od.reyestr.court.gov.ua/files/68/3e3d1cde5071908f9ef0f795cfc09ae0.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40233	1
136544634	759/5072/21	2026-05-14 00:00:00+03	2026-05-15 00:00:00+03	2026-05-18 00:00:00+03	Литвиненко Ірина Вікторівна	https://od.reyestr.court.gov.ua/files/68/02b84ccbed81ed0022a0ad53183b62ce.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40337	1
136587909	922/3066/25	2026-05-06 00:00:00+03	2026-05-19 00:00:00+03	2026-05-19 00:00:00+03	Берднік І.С.	https://od.reyestr.court.gov.ua/files/68/9cbc2c51b76e9dffc8936e842e975883.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40218	1
136627596	490/10970/23	2026-05-06 00:00:00+03	2026-05-20 00:00:00+03	2026-05-20 00:00:00+03	Гулейков Ігор Юрійович	https://od.reyestr.court.gov.ua/files/68/4956ece02955b01a4be3cb2e5c4d7839.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
136627583	359/4028/23	2026-05-18 00:00:00+03	2026-05-20 00:00:00+03	2026-05-20 00:00:00+03	Шипович Владислав Володимирович	https://od.reyestr.court.gov.ua/files/68/bfefda489ebd628231c52d13519f3b63.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
136627690	481/1179/24	2026-05-19 00:00:00+03	2026-05-20 00:00:00+03	2026-05-20 00:00:00+03	Коломієць Ганна Василівна	https://od.reyestr.court.gov.ua/files/68/7841ba17ab0c082843a0401a5b4cad5d.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40337	1
136627531	922/3067/25	2026-05-18 00:00:00+03	2026-05-20 00:00:00+03	2026-05-20 00:00:00+03	Краснов Є.В.	https://od.reyestr.court.gov.ua/files/68/9f88e0a0f6ec03cbf78b1cf4c4d097e0.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40218	1
136667115	755/12185/19	2026-05-19 00:00:00+03	2026-05-21 00:00:00+03	2026-05-21 00:00:00+03	Черняк Юлія Валеріївна	https://od.reyestr.court.gov.ua/files/68/2645ddb25845569f013fd3da4667e29c.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40337	1
136667104	359/6713/23	2026-05-13 00:00:00+03	2026-05-21 00:00:00+03	2026-05-21 00:00:00+03	Крат Василь Іванович	https://od.reyestr.court.gov.ua/files/68/e1c500845512a9188118849efd8fc018.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
136667090	372/6826/24	2026-04-29 00:00:00+03	2026-05-21 00:00:00+03	2026-05-21 00:00:00+03	Пархоменко Павло Іванович	https://od.reyestr.court.gov.ua/files/68/85eb06d967146638177ac7859f52c4b5.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1
136697365	523/11199/16-ц	2026-05-21 00:00:00+03	2026-05-21 00:00:00+03	2026-05-22 00:00:00+03	Ситнік Олена Миколаївна	https://od.reyestr.court.gov.ua/files/68/3537649fdb74437ece9471ff3c1687ef.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40337	1
