doc_id	cause_num	adjudication_date	receipt_date	date_publ	judge	doc_url	court_code	judgment_code
134647900	990/210/24	2026-02-05 00:00:00+02	2026-03-09 00:00:00+02	2026-03-10 00:00:00+02	Кривенда Олег Вікторович	http://od.reyestr.court.gov.ua/files/67/96b72ece2b98ea4bff04bdbd174b8e1a.rtf	9951	2
134647898	990/137/25	2026-02-05 00:00:00+02	2026-03-09 00:00:00+02	2026-03-10 00:00:00+02	Кривенда Олег Вікторович	http://od.reyestr.court.gov.ua/files/67/13ab992ef4097551f593645081bbeeb9.rtf	9951	2
134647902	308/17634/23	2026-02-11 00:00:00+02	2026-03-09 00:00:00+02	2026-03-11 00:00:00+02	Білоконь Олена Валеріївна	http://od.reyestr.court.gov.ua/files/67/afb893610460cc6afee05f9228ff1fac.rtf	9951	2
134688407	922/5241/21	2026-03-04 00:00:00+02	2026-03-11 00:00:00+02	2026-03-11 00:00:00+02	Ємець Анатолій Анатолійович	http://od.reyestr.court.gov.ua/files/67/b7637b2679785476885ef759cfdafe53.rtf	9951	2
134688423	922/264/24	2026-03-04 00:00:00+02	2026-03-11 00:00:00+02	2026-03-11 00:00:00+02	Пільков Костянтин Миколайович	http://od.reyestr.court.gov.ua/files/67/3b542865ad74be0faf9a4e17cc4ebade.rtf	9951	2
134688422	240/7215/24	2026-02-19 00:00:00+02	2026-03-11 00:00:00+02	2026-03-11 00:00:00+02	Стрелець Тетяна Геннадіївна	http://od.reyestr.court.gov.ua/files/67/1b626e8f4d211d8bd99ab5249627a63d.rtf	9951	2
134688406	990/464/25	2026-03-04 00:00:00+02	2026-03-11 00:00:00+02	2026-03-11 00:00:00+02	Гімон Микола Михайлович	http://od.reyestr.court.gov.ua/files/67/3c794ca5f6f1855832d167bc2c1eef81.rtf	9951	2
134688421	990SСGС/33/25	2026-03-05 00:00:00+02	2026-03-11 00:00:00+02	2026-03-11 00:00:00+02	Стрелець Тетяна Геннадіївна	http://od.reyestr.court.gov.ua/files/67/f62a10c3d564fa9440d8c1293d48be9a.rtf	9951	2
134688391	760/14761/18	2026-02-25 00:00:00+02	2026-03-11 00:00:00+02	2026-03-12 00:00:00+02	Кравченко Станіслав Іванович	http://od.reyestr.court.gov.ua/files/67/3704e8cd4f376015522b20fb4e5365c5.rtf	9951	2
134802046	755/15993/18	2026-02-25 00:00:00+02	2026-03-13 00:00:00+02	2026-03-16 00:00:00+02	Булейко Ольга Леонідівна	http://od.reyestr.court.gov.ua/files/67/dd7e1fabefdaf249827569b1d3536bd0.rtf	9951	2
134833389	990/242/23	2026-02-19 00:00:00+02	2026-03-17 00:00:00+02	2026-03-17 00:00:00+02	Кривенда Олег Вікторович	http://od.reyestr.court.gov.ua/files/67/d4878b4da7878bbbcc1544ad82c1cc95.rtf	9951	2
134833403	359/8573/20	2026-03-04 00:00:00+02	2026-03-17 00:00:00+02	2026-03-17 00:00:00+02	Ткач Ігор Васильович	http://od.reyestr.court.gov.ua/files/67/b97d9e750e1a6c761d0a3caea392cf6b.rtf	9951	2
